model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width,converged
TimesFM-2.5,DJCI,693,13,0.01875901875901876,0.038786558523273174,Yellow,0.000435050024486526,0.02263833352497788,1
TimesFM-2.5,GOLD,1770,14,0.007909604519774011,0.35893888054695877,Green,0.00046082218583682873,0.03217840295498164,1
TimesFM-2.5,WTI,1772,25,0.014108352144469526,0.10165741991357535,Green,0.0013599734596690916,0.09317452422713558,1
TimesFM-2.5,NATGAS,1771,26,0.014680971202710334,0.0641949489761654,Green,0.0013815082560384388,0.10317782685632927,1
TimesFM-2.5,BTC,1107,2,0.0018066847335140017,0.0007462012875126822,Green,0.00106453247759073,0.10096525152902577,1
TimesFM-2.5,ETH,762,7,0.009186351706036745,0.8189685114032224,Green,0.0012286146920526438,0.10713753726449178,1
TimesFM-2.5,EURUSD,1582,7,0.004424778761061947,0.012248976641545006,Green,0.0001614572750522195,0.01446335448154295,1
TimesFM-2.5,GBPUSD,1585,11,0.00694006309148265,0.1950650720454501,Green,0.00020234151505240451,0.0154059784803892,1
TimesFM-2.5,USDJPY,1888,15,0.007944915254237288,0.3519372215211136,Green,0.00019979729261675812,0.015575542953888214,1
TimesFM-2.5,AUDUSD,1395,9,0.0064516129032258064,0.1543087129769588,Green,0.00022076155638039725,0.01769298770412321,1
Moirai-2.0,SP500,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004736183417322722,0.037131197822295466,1
Moirai-2.0,STOXX,1498,0,0.0,4.08051099576312e-08,Green,0.00048775664856144933,0.04834161001247229,1
Moirai-2.0,GDAXI,1843,26,0.01410743353228432,0.09511965252644872,Green,0.00045391902900711415,0.032250653288241074,1
Moirai-2.0,FCHI,1856,30,0.016163793103448277,0.014284054061064255,Yellow,0.00046750619875055775,0.030844608674146394,1
Moirai-2.0,FTSE100,1833,27,0.014729950900163666,0.057241087656079714,Green,0.00038335060288220674,0.026314249044743283,1
Moirai-2.0,ICLN,1185,11,0.009282700421940928,0.8016638096754556,Green,0.0005382568273296296,0.043096093946988205,1
Moirai-2.0,NIKKEI,1772,19,0.01072234762979684,0.7625997381188102,Green,0.00048412593520095614,0.03543117547010189,1
Moirai-2.0,HSI,1784,22,0.01233183856502242,0.3395375912110068,Green,0.0005284018723102659,0.03584863408426748,1
Moirai-2.0,BOVESPA,1794,9,0.005016722408026756,0.018925610100367307,Green,0.000489070028125409,0.03997979655609378,1
Moirai-2.0,NIFTY,1208,7,0.005794701986754967,0.11081403091403286,Green,0.00030691129728624677,0.024123124158188188,1
Moirai-2.0,ASX200,1833,33,0.01800327332242226,0.001961909828656072,Yellow,0.00037500583207263993,0.027582753048164068,1
Moirai-2.0,CBU0,976,28,0.028688524590163935,1.7193624769484828e-06,Yellow,0.00017670196308006454,0.009699543423732275,1
Moirai-2.0,TLT,1631,32,0.019619865113427344,0.0005594634474977989,Yellow,0.00036047599653328847,0.02239569051717827,1
Moirai-2.0,IBGL,1226,14,0.011419249592169658,0.625272163187699,Green,0.00024642106683724806,0.020577027562771744,1
Moirai-2.0,DJCI,693,12,0.017316017316017316,0.07952006629122066,Yellow,0.0004354433098066704,0.023418281067187238,1
Moirai-2.0,GOLD,1770,13,0.007344632768361582,0.238642057631698,Green,0.0004618013689839357,0.03246086479753465,1
Moirai-2.0,WTI,1772,24,0.013544018058690745,0.1548529750234291,Green,0.0013792030247642105,0.094892113223091,1
Moirai-2.0,NATGAS,1771,27,0.015245623941276116,0.03944703006413963,Green,0.0013797085759729524,0.10328140765327912,1
Moirai-2.0,BTC,1107,1,0.0009033423667570009,8.590099648342342e-05,Green,0.0010896275279223375,0.10476739592993244,1
Moirai-2.0,ETH,762,0,0.0,9.090871049055593e-05,Green,0.0015045424183517642,0.1507799158402345,1
Moirai-2.0,EURUSD,1582,7,0.004424778761061947,0.012248976641545006,Green,0.00016190045058547822,0.014551038104357069,1
Moirai-2.0,GBPUSD,1585,11,0.00694006309148265,0.1950650720454501,Green,0.00020324079024931852,0.015491377665933143,1
Moirai-2.0,USDJPY,1888,12,0.006355932203389831,0.08810957645884177,Green,0.00022142565787255182,0.018491297272450555,1
Moirai-2.0,AUDUSD,1395,10,0.007168458781362007,0.26290437305096925,Green,0.000220779960139875,0.017705174094435935,1
Lag-Llama,SP500,1824,14,0.007675438596491228,0.29818860548007753,Green,0.000555950265256561,0.03975437290980487,1
Lag-Llama,STOXX,1498,0,0.0,4.08051099576312e-08,Green,0.0004751137789499259,0.047077323051319946,1
