model,symbol,pi_hat,kupiec_p,kupiec_rej,qs,width,traffic_light,gamma
GARCH-N,USDJPY,0.011190233977619531,0.6027331619968641,False,2.107112513063644,0.014563887041632927,Green,0.001
GARCH-N,AUDUSD,0.010862186014935505,0.7429092487528821,False,2.1106319655116543,0.015554946292417509,Green,0.001
Hist-Sim,SP500,0.01840168243953733,0.0009794634574257222,True,6.073308613244019,0.045347123232145035,Yellow,0.001
Hist-Sim,STOXX,0.013316423589093214,0.20777142523648595,False,5.719437641854098,0.04142644755777919,Green,0.001
Hist-Sim,GDAXI,0.01404786680541103,0.09276823427206593,False,5.642557543792222,0.04054770039029044,Green,0.001
Hist-Sim,CACT,0.013953488372093023,0.09907377190052935,False,5.7541571043118775,0.042077002316395384,Green,0.001
Hist-Sim,FTSE100,0.013082155939298797,0.19604976085896186,False,5.048426868087436,0.03509415329485226,Green,0.001
Hist-Sim,ICLN,0.014251781472684086,0.15343329232641822,False,6.406519931902152,0.04722323642143874,Green,0.001
Hist-Sim,NIKKEI,0.014586709886547812,0.0634132788029993,False,6.1508417702064,0.047383349245149656,Green,0.001
Hist-Sim,HSI,0.012352309344790547,0.32510930021738926,False,6.133259728076833,0.04460173852682249,Green,0.001
Hist-Sim,BOVESPA,0.017084890549919914,0.005126700128083583,True,7.2296849974477135,0.05294300394638323,Yellow,0.001
Hist-Sim,NIFTY,0.017094017094017096,0.020184224227544845,True,4.077786408850811,0.029268099973698128,Yellow,0.001
Hist-Sim,ASX200,0.015690376569037656,0.020956511650298104,True,5.108222638007124,0.03907886918107552,Green,0.001
Hist-Sim,CBU0,0.011374407582938388,0.6606352030663153,False,1.5309203036965209,0.012964173546439693,Green,0.001
