alpha,model,symbol,n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width
0.025,Chronos-Small,USDJPY,4403,1888,0.0116008928763395,0.3961864406779661,0.0264830508474576,748,50,0.0,0.6826370533038365,0.9247864625118696,0.1500756919021141,Red,Yellow,0.0016486313951442,0.0004304740774116,0.0123217703684758,0.0007208774921362987
0.05,Chronos-Small,USDJPY,4403,1888,0.0088187897720802,0.4030720338983051,0.0455508474576271,761,86,0.0,0.368135335688278,0.870738600704237,0.0652466939103857,Red,Red,0.001702358743453,0.0007031148251754,0.0094511697297633,0.0006323799576831001
0.1,Chronos-Small,USDJPY,4403,1888,0.0064272942187086,0.4173728813559322,0.0858050847457627,788,162,0.0,0.0355469721983821,0.7151329432792348,5.496536471194524e-06,Red,Red,0.0017901906533772,0.0010878567653592,0.0069062617576298,0.0004789675389212005
0.01,Chronos-Small,AUDUSD,3252,1395,0.0216318632571926,0.3813620071684588,0.0007168458781362,532,1,0.0,5.232900054830125e-06,0.1659034844079162,0.9992823824593552,Red,Green,0.001772282306364,0.0002548442942499,0.0232369923089075,0.0016051290517149
0.025,Chronos-Small,AUDUSD,3252,1395,0.0146811741842064,0.3863799283154122,0.0086021505376344,539,12,0.0,5.876979911612068e-06,0.235259516464535,0.9010467593240972,Red,Green,0.0018312875166019,0.0004606777914876,0.0161870097047811,0.0015058355205747002
0.05,Chronos-Small,AUDUSD,3252,1395,0.011067999787407,0.392831541218638,0.025089605734767,548,35,0.0,2.5433525751017427e-06,0.1273672892088789,0.9915960973955534,Red,Yellow,0.0019058637101412,0.0007339528064862,0.0124678283856847,0.0013998285982777005
0.1,Chronos-Small,AUDUSD,3252,1395,0.0081243232749949,0.4078853046594982,0.0652329749103942,569,91,0.0,4.3625597606622435e-06,0.0524497603933881,0.9996595192656323,Red,Red,0.0020362840399937,0.0011909119741436,0.0093367390771906,0.0012124158021957002
0.01,Chronos-Mini,SP500,4254,1824,0.0325964769563504,0.394188596491228,0.0104166666666666,719,19,0.0,0.859006300282899,0.8498904879566597,0.0496652972824918,Red,Green,0.0032372629158232,0.000495103734859,0.0344854768779924,0.0018889999216420011
0.025,Chronos-Mini,SP500,4254,1824,0.0235617718306832,0.4024122807017544,0.0263157894736842,734,48,0.0,0.7211467684150769,0.9314553774862956,0.130295849005695,Red,Yellow,0.0033415742642047,0.0009449425162945,0.0251638744478855,0.0016021026172022973
0.05,Chronos-Mini,SP500,4254,1824,0.0166835681589552,0.4100877192982456,0.0498903508771929,748,91,0.0,0.9828514308844496,0.989560947896241,0.0228565620486344,Red,Red,0.0034689209290343,0.0014904576373312,0.0179952986642114,0.001311730505256202
0.1,Chronos-Mini,SP500,4254,1824,0.0111983308381048,0.4221491228070175,0.1036184210526315,770,189,0.0,0.6083688343227621,0.9849981913511164,0.2861741667696018,Red,Red,0.0036749609701213,0.0023022795888709,0.0121258539414263,0.0009275231033215002
0.01,Chronos-Mini,STOXX,3495,1498,0.0359080335531963,0.4045393858477971,0.0046728971962616,606,7,0.0,0.0207034864201672,0.5929801549370493,0.0747641346878585,Red,Green,0.0028268017148355,0.0003963156059092,0.036747525527622,0.0008394919744256976
0.025,Chronos-Mini,STOXX,3495,1498,0.0251496503302502,0.4118825100133511,0.0146862483311081,617,22,0.0,0.0056570247294718,0.4710224501482271,0.012854648406763,Red,Green,0.0028991037981277,0.0007851634997889,0.0258602885889081,0.0007106382586579002
0.05,Chronos-Mini,STOXX,3495,1498,0.0180931799767957,0.417890520694259,0.0307076101468624,626,46,0.0,0.0002345534291529,0.2825213119271674,2.85063197262847e-05,Red,Yellow,0.0029818341310404,0.0012349292266944,0.0186573713935572,0.0005641914167614989
0.1,Chronos-Mini,STOXX,3495,1498,0.0123093920394342,0.4345794392523364,0.0640854472630173,651,96,0.0,8.295690185899929e-07,0.2761370150621238,0.0003962788606459,Red,Red,0.0031109304505463,0.0018733372708421,0.0126212788687685,0.00031188682933429995
0.01,Chronos-Mini,GDAXI,4299,1843,0.0411064567169019,0.4058600108518719,0.0048833423765599,748,9,0.0,0.0142487470618151,0.8286842282606638,0.9567721245444214,Red,Green,0.003440054163111,0.0005162520804148,0.0422875962161393,0.0011811394992373991
0.025,Chronos-Mini,GDAXI,4299,1843,0.0280661876067474,0.4150841020075963,0.0200759631036353,765,37,0.0,0.1611221368850695,0.8330326040430855,0.0228183259778749,Red,Yellow,0.0035198152520729,0.0009966693245069,0.0291068445059079,0.001040656899160497
0.05,Chronos-Mini,GDAXI,4299,1843,0.0211041645872878,0.4205100379815518,0.032555615843733,775,60,0.0,0.0002518928181634,0.6529872006112478,0.012978637897729,Red,Yellow,0.0036101175216765,0.0015583976422584,0.0219892275518357,0.0008850629645478988
0.1,Chronos-Mini,GDAXI,4299,1843,0.0149769456330518,0.4324470971242539,0.0678241996744438,797,125,0.0,1.1660608929542349e-06,0.555661274234866,0.0029725456258018,Red,Red,0.0037694631929151,0.0023455292218124,0.0155612747659783,0.0005843291329264994
