model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width
Hist-Sim,HSI,1862,24,0.01288936627282492,0.23030772305563474,Green,0.0005253556945713302,0.034464238877623427
Hist-Sim,BOVESPA,1873,24,0.012813667912439935,0.2408686232771038,Green,0.000527673066707213,0.03268390703775311
Hist-Sim,NIFTY,1287,12,0.009324009324009324,0.8052720585730028,Green,0.00031996730181194647,0.021861927349815537
Hist-Sim,ASX200,1912,36,0.01882845188284519,0.0005460547665065985,Yellow,0.000385364228820028,0.02187553940445447
Hist-Sim,CBU0,1055,57,0.05402843601895735,0.0,Red,0.00022974631280916328,0.007720808520831115
Hist-Sim,TLT,1709,48,0.028086600351082503,7.49210027350955e-10,Yellow,0.000344845122576476,0.019316975565535417
Hist-Sim,IBGL,1305,20,0.01532567049808429,0.07295637902591934,Green,0.000246718567121281,0.018998854388944393
Hist-Sim,DJCI,772,12,0.015544041450777202,0.15218340756032478,Green,0.0003703805417661543,0.020995761822146856
Hist-Sim,GOLD,1848,25,0.013528138528138528,0.14801384427843778,Green,0.0004321547356521567,0.025755003162312818
Hist-Sim,WTI,1850,40,0.021621621621621623,1.3474749138042696e-05,Yellow,0.001262022586028854,0.05591751421096527
Hist-Sim,NATGAS,1850,61,0.032972972972972976,4.3298697960381105e-15,Yellow,0.0019269903048042968,0.0785522692799754
Hist-Sim,BTC,1185,1,0.0008438818565400844,4.033874151820882e-05,Green,0.0011480534755819918,0.10997670278124402
Hist-Sim,ETH,841,20,0.023781212841854936,0.0006473892468038533,Yellow,0.001356482429568506,0.08717077811813785
Hist-Sim,EURUSD,1660,23,0.013855421686746987,0.1357780366637481,Green,0.00014937251378837655,0.010470467298872571
Hist-Sim,GBPUSD,1664,17,0.010216346153846154,0.9295721963821353,Green,0.0001971803672318766,0.014375526048878288
Hist-Sim,USDJPY,1966,21,0.010681586978636826,0.7638616924946358,Green,0.00021160733443969116,0.01476926973814815
Hist-Sim,AUDUSD,1473,14,0.009504412763068567,0.8471474790146846,Green,0.00021462320114871506,0.015544276060051498
EWMA,SP500,1902,34,0.017875920084121977,0.0018846574849741282,Yellow,0.0004662250604281244,0.025321915885674676
EWMA,STOXX,1577,36,0.022828154724159798,1.157105064497621e-05,Yellow,0.000465510414379555,0.022840947567567577
EWMA,GDAXI,1922,36,0.018730489073881373,0.000600871103417222,Yellow,0.00046856441413146456,0.027187497291312677
EWMA,FCHI,1935,43,0.022222222222222223,3.2468726484102817e-06,Yellow,0.0005130361499375158,0.024715982196969317
EWMA,FTSE100,1911,41,0.021454735740450027,1.2602310564324704e-05,Yellow,0.00041247259234564307,0.021311541933039874
EWMA,ICLN,1263,22,0.01741884402216944,0.01649838787643043,Yellow,0.0005384426555546503,0.03602985736849791
EWMA,NIKKEI,1851,16,0.00864397622906537,0.5483288513733979,Green,0.0005004460901812031,0.03523096243064151
EWMA,HSI,1862,21,0.011278195488721804,0.586975071178917,Green,0.0005136830887024013,0.03468612383389534
EWMA,BOVESPA,1873,23,0.012279765082754938,0.3383285383064639,Green,0.0005214829198303035,0.033498638262907714
EWMA,NIFTY,1287,13,0.010101010101010102,0.9709958896426412,Green,0.000303269608306945,0.021986827832922343
EWMA,ASX200,1912,42,0.021966527196652718,5.600220167933934e-06,Yellow,0.0003641434731607038,0.021853668996969486
EWMA,CBU0,1055,56,0.05308056872037915,0.0,Red,0.00020753188319603142,0.007735219782752031
EWMA,TLT,1709,40,0.023405500292568753,2.07695636877947e-06,Yellow,0.0003425526288869025,0.019998924948171834
EWMA,IBGL,1305,20,0.01532567049808429,0.07295637902591934,Green,0.00024408019253861887,0.01913397916024356
EWMA,DJCI,772,15,0.019430051813471502,0.019718559782215372,Yellow,0.0003693136011625843,0.022805863447331154
EWMA,GOLD,1848,32,0.017316017316017316,0.004190987552886161,Yellow,0.00043499887896477854,0.024964989020278338
EWMA,WTI,1850,36,0.01945945945945946,0.00029504073609198933,Yellow,0.0012566416682641096,0.05767916822759908
EWMA,NATGAS,1850,67,0.036216216216216214,0.0,Red,0.0018753732963744715,0.0757891016359005
EWMA,BTC,1185,1,0.0008438818565400844,4.033874151820882e-05,Green,0.0011499033698031094,0.11016984221570762
EWMA,ETH,841,7,0.008323424494649227,0.6148112912153512,Green,0.0013053869945570812,0.10308508744683266
EWMA,EURUSD,1660,24,0.014457831325301205,0.0870215373424017,Green,0.0001538753306371543,0.010765342396401707
EWMA,GBPUSD,1664,15,0.009014423076923076,0.6811313249225615,Green,0.00019592651071849025,0.014485290776758504
EWMA,USDJPY,1966,28,0.014242115971515769,0.07553635414896775,Green,0.00020362308014029444,0.013450844476230059
EWMA,AUDUSD,1473,19,0.012898845892735914,0.28448898536186107,Green,0.00021060861448579004,0.01503140077973896
